time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-04-03T18:32:29.994Z,-22.9375,170.0666,10,4.8,mb,,93,2.439,0.96,us,us7000gzez,2022-04-03T20:22:01.040Z,"265 km E of Vao, New Caledonia",earthquake,8.6,1.9,0.1,31,reviewed,us,us
2022-04-03T15:40:28.241Z,-22.8756,170.0336,10,4.9,mb,,108,2.402,0.75,us,us7000h0g4,2022-04-11T13:31:19.040Z,"261 km E of Vao, New Caledonia",earthquake,9.2,1.8,0.08,52,reviewed,us,us
2022-04-03T15:02:38.426Z,-21.9091,170.0202,12.12,4.6,mb,,111,2.484,0.46,us,us7000h0gg,2022-04-10T21:17:56.040Z,"224 km E of Tadine, New Caledonia",earthquake,10,5.1,0.244,7,reviewed,us,us
2022-04-03T14:54:20.981Z,-22.8955,170.1639,10,4.7,mb,,123,2.524,0.39,us,us7000h0gf,2022-04-10T21:00:04.040Z,"275 km E of Vao, New Caledonia",earthquake,6.6,1.9,0.166,16,reviewed,us,us
2022-04-03T13:13:13.428Z,-22.7772,170.183,10,4.4,mb,,124,2.532,0.35,us,us7000h0fz,2022-04-10T19:23:33.040Z,"273 km ESE of Tadine, New Caledonia",earthquake,15,1.9,0.241,6,reviewed,us,us
2022-04-03T13:00:29.426Z,-22.6694,170.3769,5.39,4.2,mb,,105,2.707,0.21,us,us7000h0g9,2022-04-10T15:08:51.040Z,"286 km ESE of Tadine, New Caledonia",earthquake,11.1,6.4,0.176,11,reviewed,us,us
2022-04-02T23:06:23.971Z,-22.5751,170.8928,10,4.9,mb,,111,3.185,0.68,us,us7000gz9t,2022-04-30T02:45:23.040Z,southeast of the Loyalty Islands,earthquake,9,1.8,0.099,32,reviewed,us,us
2022-04-02T23:04:56.364Z,-22.9075,170.5032,10,4.2,mb,,107,2.836,0.39,us,us7000h0ea,2022-04-30T02:55:40.040Z,southeast of the Loyalty Islands,earthquake,6.5,1.9,0.215,6,reviewed,us,us
2022-04-02T22:21:48.051Z,-22.917,170.72,10,4.5,mb,,114,3.036,0.75,us,us7000h0e7,2022-04-30T03:10:09.040Z,southeast of the Loyalty Islands,earthquake,7.5,1.9,0.22,6,reviewed,us,us
2022-04-02T18:45:00.592Z,-22.688,170.5432,9,5.6,mww,,80,2.861,0.75,us,us7000gz8x,2022-04-30T16:32:00.586Z,southeast of the Loyalty Islands,earthquake,6.5,1.8,0.051,37,reviewed,us,us
2022-04-02T16:23:37.875Z,-22.8487,170.7817,10,4.3,mb,,70,3.088,1.11,us,us7000h0e1,2022-04-15T20:01:26.040Z,southeast of the Loyalty Islands,earthquake,7.8,1.7,0.133,16,reviewed,us,us
2022-04-02T12:32:54.110Z,-12.2799,167.2967,228.62,4,mb,,182,3.149,0.29,us,us7000h0dt,2022-04-30T09:16:12.040Z,"178 km N of Sola, Vanuatu",earthquake,7.1,11,0.129,17,reviewed,us,us
2022-04-02T10:45:57.119Z,-22.6607,170.5361,9.1,5.5,mww,,109,2.854,0.75,us,us7000gz79,2022-04-29T11:44:27.896Z,southeast of the Loyalty Islands,earthquake,2.5,4.2,0.068,21,reviewed,us,us
2022-04-02T09:00:15.630Z,-22.0596,170.8108,10,4.4,mb,,209,3.163,0.66,us,us7000h0dr,2022-04-29T07:16:24.040Z,southeast of the Loyalty Islands,earthquake,14.3,2,0.162,11,reviewed,us,us
2022-04-02T08:14:51.618Z,-22.2317,170.0665,10,4.4,mb,,154,2.453,0.87,us,us7000h0dk,2022-04-16T13:17:37.040Z,"238 km ESE of Tadine, New Caledonia",earthquake,12.8,1.9,0.143,14,reviewed,us,us
2022-04-02T04:44:13.189Z,-22.9186,170.4824,10,4.2,mb,,106,2.818,1.08,us,us7000h0dd,2022-04-07T22:18:47.040Z,southeast of the Loyalty Islands,earthquake,9.3,1.7,0.263,4,reviewed,us,us
2022-04-02T04:15:06.447Z,-22.8883,170.5266,22.16,5.6,mww,,77,2.856,1.32,us,us7000gz5q,2022-04-28T21:21:28.971Z,southeast of the Loyalty Islands,earthquake,8.1,4.1,0.061,26,reviewed,us,us
2022-04-01T16:01:14.831Z,-8.5479,159.0203,108.03,4.4,mb,,67,1.273,0.91,us,us7000gz24,2022-04-25T15:09:36.040Z,"77 km SW of Buala, Solomon Islands",earthquake,8.8,5.4,0.098,30,reviewed,us,us
2022-04-01T13:05:18.925Z,-22.6,170.2659,16,5.5,mww,,32,2.605,0.9,us,us7000gyza,2022-04-15T08:31:49.316Z,"272 km ESE of Tadine, New Caledonia",earthquake,4.6,1.7,0.057,30,reviewed,us,us
2022-04-01T10:48:49.477Z,-22.0415,171.2427,10,4,mb,,81,3.56,0.39,us,us7000h068,2022-04-28T11:56:45.040Z,southeast of the Loyalty Islands,earthquake,9,1.9,0.298,3,reviewed,us,us
2022-04-01T10:17:26.777Z,-22.651,170.9853,10,4.1,mb,,148,3.269,0.51,us,us7000h067,2022-04-28T12:08:42.040Z,southeast of the Loyalty Islands,earthquake,9.7,1.9,0.233,5,reviewed,us,us
2022-04-01T01:27:32.984Z,-23.0792,170.6146,10,4.6,mb,,107,2.959,1.02,us,us7000h05x,2022-04-07T00:52:49.040Z,southeast of the Loyalty Islands,earthquake,7.6,1.9,0.274,5,reviewed,us,us
2022-04-01T01:15:28.049Z,-22.4795,170.6864,10,4.4,mb,,186,2.998,0.97,us,us7000h05w,2022-04-07T00:47:05.040Z,southeast of the Loyalty Islands,earthquake,10.9,1.9,0.269,4,reviewed,us,us
2022-04-01T01:08:14.815Z,-22.8832,170.5603,10,4.8,mb,,106,2.887,0.61,us,us7000gyum,2022-04-23T02:22:02.040Z,southeast of the Loyalty Islands,earthquake,6.8,1.9,0.124,22,reviewed,us,us
2022-04-01T00:12:39.404Z,-22.3586,170.2478,10,4.1,mb,,187,2.603,0.34,us,us7000h05u,2022-04-10T03:19:40.040Z,"260 km ESE of Tadine, New Caledonia",earthquake,8.9,2,0.37,2,reviewed,us,us
2022-03-31T23:32:34.458Z,-22.807,171.0845,10,4.6,mb,,72,3.364,0.65,us,us7000gzwg,2022-04-09T03:28:21.040Z,southeast of the Loyalty Islands,earthquake,7.8,1.9,0.173,10,reviewed,us,us
2022-03-31T23:13:42.735Z,-22.8819,170.8071,10,4.4,mb,,154,3.113,0.39,us,us7000gzwh,2022-04-09T03:37:32.040Z,southeast of the Loyalty Islands,earthquake,7.7,2,0.24,5,reviewed,us,us
2022-03-31T22:33:18.176Z,-22.8543,170.5397,10,4.5,mb,,110,2.865,0.72,us,us7000gzwd,2022-04-16T04:21:03.040Z,southeast of the Loyalty Islands,earthquake,9.1,1.9,0.172,10,reviewed,us,us
2022-03-31T21:59:44.678Z,-22.6706,170.65,10,5.1,mb,,50,2.96,1.11,us,us7000gyts,2022-03-31T22:15:41.040Z,southeast of the Loyalty Islands,earthquake,7.5,1.9,0.073,62,reviewed,us,us
2022-03-31T20:09:49.692Z,-22.6294,170.5407,10,4.5,mb,,105,2.859,0.99,us,us7000gzw9,2022-04-07T16:11:56.040Z,"299 km ESE of Tadine, New Caledonia",earthquake,5.1,1.9,0.156,12,reviewed,us,us
2022-03-31T19:50:40.985Z,-22.6577,170.8084,20,6.4,mww,,33,3.106,0.97,us,us7000gysz,2022-04-27T19:56:06.361Z,southeast of the Loyalty Islands,earthquake,7.9,1.8,0.034,81,reviewed,us,us
2022-03-31T16:41:44.672Z,-22.9528,170.1807,10,4.2,mb,,219,3.565,0.96,us,us7000gzw8,2022-04-27T21:14:12.040Z,"277 km E of Vao, New Caledonia",earthquake,10.1,2,0.235,7,reviewed,us,us
2022-03-31T15:54:27.430Z,-22.1992,170.2715,10,5.4,mww,,45,2.646,0.88,us,us7000gyr3,2022-04-29T18:05:41.040Z,"257 km ESE of Tadine, New Caledonia",earthquake,7.2,1.7,0.059,28,reviewed,us,us
2022-03-31T15:36:46.755Z,-22.5135,170.118,10,4.4,mb,,102,2.471,0.51,us,us7000gzw3,2022-04-27T19:57:39.040Z,"254 km ESE of Tadine, New Caledonia",earthquake,8.1,1.9,0.12,24,reviewed,us,us
2022-03-31T15:30:47.491Z,-22.6247,170.8025,10,5.1,mww,,47,3.1,0.92,us,us7000gyr4,2022-04-27T19:51:00.040Z,southeast of the Loyalty Islands,earthquake,9,1.8,0.098,10,reviewed,us,us
2022-03-31T15:29:53.236Z,-22.6847,170.7293,10,5.3,mww,,49,3.033,0.84,us,us7000gyqw,2022-04-27T19:43:09.040Z,southeast of the Loyalty Islands,earthquake,9.8,1.8,0.098,10,reviewed,us,us
2022-03-31T15:02:52.609Z,-11.9305,166.7315,62.7,4.6,mb,,120,3.525,0.75,us,us7000gzws,2022-04-27T19:35:24.040Z,"167 km SE of Lata, Solomon Islands",earthquake,9.5,7.4,0.173,13,reviewed,us,us
2022-03-31T15:01:36.611Z,-22.4672,170.2232,10,4.4,mb,,71,2.571,0.94,us,us7000gzw2,2022-04-27T19:18:24.040Z,"262 km ESE of Tadine, New Caledonia",earthquake,7.9,1.7,0.134,23,reviewed,us,us
2022-03-31T14:29:09.277Z,-22.2023,170.2967,10,4.4,mb,,77,2.669,1.13,us,us7000gzwt,2022-04-09T15:22:11.040Z,"260 km ESE of Tadine, New Caledonia",earthquake,9.8,1.9,0.149,17,reviewed,us,us
2022-03-31T11:42:32.498Z,-22.3749,170.1287,10,4.5,mb,,107,2.491,1.15,us,us7000gyp9,2022-04-28T09:00:05.040Z,"249 km ESE of Tadine, New Caledonia",earthquake,8,1.9,0.136,19,reviewed,us,us
2022-03-31T11:17:09.987Z,-22.3984,170.6964,10,4.2,mb,,169,3.012,1.24,us,us7000gzvs,2022-04-28T09:20:45.040Z,southeast of the Loyalty Islands,earthquake,9.9,1.7,0.2,11,reviewed,us,us
2022-03-31T10:59:45.322Z,-22.3871,170.299,10,4.1,mb,,169,2.647,1.19,us,us7000gzvr,2022-04-28T10:22:32.040Z,"266 km ESE of Tadine, New Caledonia",earthquake,10.6,1.9,0.213,7,reviewed,us,us
